This host is: shiva
--- BRKGA-MP-IPR for HHCRSP ---
Instance: /home/alberto/work/gecco2020-brkga/instances-HHCRSP/InstanzVNS_HCSRP_200_5.txt
Seed: 10

Reading data... Problem contains 200 patients  and 30 caregivers.

Summary of supply x demand for each service type:
Skill 0 has supply = 4 and demand = 31, ratio = 0.129032
Skill 1 has supply = 6 and demand = 37, ratio = 0.162162
Skill 2 has supply = 5 and demand = 29, ratio = 0.172414
Skill 3 has supply = 19 and demand = 57, ratio = 0.333333
Skill 4 has supply = 15 and demand = 54, ratio = 0.277778
Skill 5 has supply = 19 and demand = 52, ratio = 0.365385

Reading parameters...
Inferred distance function by PR type: kendall-tau
Building BRKGA data and initializing...
Evolving 1900 generations...

  Gens  Rem    Local   ElDiv NoImpr             Best solution            Time  Op
                                       Cost     Dist    Tard    TMax 
*    0 1900  7066.87  434.29      0  7066.87  6884.64 13891.3   424.7     0.1    
*    2 1898  6704.41  345.06      0  6704.41  7037.07 12632.1   444.1     0.3    
*    4 1896  6230.91  316.27      0  6230.91  6965.35 11358.4   369.0     0.5    
*    6 1894  6055.93  268.37      0  6055.93  6800.15 10543.5   412.5     0.7    
*    7 1893  5918.70  279.78      0  5918.70  7184.87  9268.9   377.8     0.8    
*    8 1892  5610.51  298.70      0  5610.51  6939.28  8093.4   294.4     0.9    
*    9 1891  5109.04  249.31      0  5109.04  6939.28  8093.4   294.4     1.0    
*   11 1889  4843.58  234.22      0  4843.58  7087.16  6187.8   353.2     1.1    
*   12 1888  4542.72  209.66      0  4542.72  7087.16  6187.8   353.2     1.2    
*   14 1886  4466.32  186.70      0  4466.32  6584.50  5846.0   261.4     1.4    
*   15 1885  4230.63  182.55      0  4230.63  6771.57  4624.7   326.4     1.5    
*   16 1884  3907.58  157.58      0  3907.58  6771.57  4624.7   326.4     1.6    
*   18 1882  3629.95  171.71      0  3629.95  6894.89  3666.2   273.1     1.8    
*   19 1881  3611.39  143.10      0  3611.39  6625.77  3826.5   283.1     1.9    
*   20 1880  3578.45  110.23      0  3578.45  6645.83  3506.7   246.9     2.0    

  Gens  Rem    Local   ElDiv NoImpr             Best solution            Time  Op
                                       Cost     Dist    Tard    TMax 
*   21 1879  3466.49  132.28      0  3466.49  6708.99  2123.0   336.4     2.1    
*   22 1878  3056.14  129.00      0  3056.14  6708.99  2123.0   336.4     2.2    
*   24 1876  2946.78  114.71      0  2946.78  6367.43  2024.9   258.8     2.4    
*   25 1875  2883.70  105.22      0  2883.70  6448.05  1907.3   151.0     2.5    
*   26 1874  2835.43  124.16      0  2835.43  6598.90   838.3    62.5     2.6    
*   27 1873  2499.87   98.41      0  2499.87  6598.90   838.3    62.5     2.7    
*   32 1868  2431.31   70.46      0  2431.31  6289.26   768.7    82.0     3.1    
*   33 1867  2380.00   63.94      0  2380.00  6072.46   914.8   112.3     3.2    
*   34 1866  2366.50   61.19      0  2366.50  6072.46   914.8   112.3     3.3    
*   36 1864  2361.32   44.25      0  2361.32  6151.94   710.3   181.1     3.5    
*   37 1863  2347.80   47.74      0  2347.80  6080.87   391.7   116.4     3.6    
*   38 1862  2196.32   47.72      0  2196.32  6277.42   248.5    56.1     3.7    
*   39 1861  2194.01   49.53      0  2194.01  5878.95   517.3   124.2     3.8    
*   40 1860  2173.47   48.90      0  2173.47  5858.65   473.8    89.1     3.9    
*   41 1859  2140.50   41.51      0  2140.50  5939.72   359.5    74.2     4.0    
*   42 1858  2124.49   41.21      0  2124.49  5939.72   359.5    74.2     4.1    

  Gens  Rem    Local   ElDiv NoImpr             Best solution            Time  Op
                                       Cost     Dist    Tard    TMax 
*   45 1855  2068.15   30.20      0  2068.15  5965.46   195.5    43.5     4.4    
*   47 1853  2065.09   34.81      0  2065.09  5914.55   159.1    43.4     4.6    
*   48 1852  2039.01   36.24      0  2039.01  5706.75   276.4    71.0     4.7    
*   49 1851  2018.04   33.66      0  2018.04  5676.82   217.5    32.8     4.8    
*   50 1850  1975.69   29.08      0  1975.69  5676.82   217.5    32.8     4.9    
*   56 1844  1951.15   25.87      0  1951.15  5528.61   277.0    47.9     5.4    
*   58 1842  1901.79   23.16      0  1901.79  5587.63   100.1    17.7     5.6    
*   63 1837  1889.92   22.23      0  1889.92  5296.89   313.8    59.1     6.1    
*   69 1831  1848.48   25.31      0  1848.48  5407.64   116.2    21.6     6.7    
*   75 1825  1803.06   19.65      0  1803.06  5294.95    84.2    30.1     7.3    
*   81 1819  1800.35   21.50      0  1800.35  5194.32    79.5    20.7     7.8    
*   82 1818  1764.84   20.07      0  1764.84  5194.32    79.5    20.7     7.9    
*   86 1814  1753.33   21.51      0  1753.33  5220.06    30.8     9.2     8.3    
*   89 1811  1744.89   21.09      0  1744.89  5143.91    61.8    28.9     8.6    
*   92 1808  1722.88   20.15      0  1722.88  5079.49    67.0    22.2     8.9    
*   98 1802  1716.71   19.04      0  1716.71  5140.34     6.2     3.6     9.5    

  Gens  Rem    Local   ElDiv NoImpr             Best solution            Time  Op
                                       Cost     Dist    Tard    TMax 
*  100 1800  1716.18   18.83      0  1716.18  5025.33    94.4    26.5     9.7    
*  101 1799  1715.40   18.05      0  1715.40  5118.49     9.3     4.9     9.8    
*  102 1798  1710.89   16.25      0  1710.89  5118.49     9.3     4.9     9.8    
*  106 1794  1699.81   14.51      0  1699.81  5062.39    25.5    11.6    10.2    
*  108 1792  1669.98   15.18      0  1669.98  4983.99    19.9     6.1    10.4    
*  113 1787  1638.81   16.07      0  1638.81  4853.84    49.9    12.7    10.9    
*  116 1784  1628.96   16.19      0  1628.96  4745.83   113.3    27.7    11.2    
*  121 1779  1628.42   13.44      0  1628.42  4826.02    44.3    14.9    11.7    
*  123 1777  1596.44   14.91      0  1596.44  4757.77    20.9    10.7    11.8    
*  136 1764  1582.30   13.72      0  1582.30  4709.41    25.7    11.7    13.1    
*  145 1755  1572.84   11.09      0  1572.84  4697.18    13.2     8.2    13.9    
*  150 1750  1569.99    9.91      0  1569.99  4632.82    28.2    21.3    14.4    
*  151 1749  1560.76    9.66      0  1560.76  4632.82    28.2    21.3    14.5    
*  153 1747  1546.25   11.19      0  1546.25  4624.42    10.2     4.1    14.7    
*  155 1745  1542.77   11.49      0  1542.77  4561.94    51.6    14.7    14.9    
*  157 1743  1519.65   12.61      0  1519.65  4526.52    26.3     6.1    15.1    

  Gens  Rem    Local   ElDiv NoImpr             Best solution            Time  Op
                                       Cost     Dist    Tard    TMax 
*  167 1733  1517.82   10.02      0  1517.82  4525.73    23.1     4.6    16.0    
*  173 1727  1514.59    8.31      0  1514.59  4498.01    14.6     8.2    16.6    
*  174 1726  1506.92    8.17      0  1506.92  4498.01    14.6     8.2    16.7    
*  176 1724  1503.93    9.03      0  1503.93  4482.98    18.8     5.5    16.9    
*  177 1723  1502.42    9.25      0  1502.42  4482.98    18.8     5.5    17.0    
*  181 1719  1476.88    9.58      0  1476.88  4412.27    14.2     4.1    17.4    
*  186 1714  1472.66    8.36      0  1472.66  4404.60     9.2     4.1    17.8    
*  188 1712  1466.65    9.09      0  1466.65  4369.67    22.1     8.2    18.0    
*  190 1710  1458.18    9.72      0  1458.18  4356.42    14.0     4.1    18.2    
*  197 1703  1450.28    8.43      0  1450.28  4318.30    23.6     8.9    18.9    
*  199 1701  1447.65    9.87      0  1447.65  4294.17    12.6     4.1    19.1    
*  200 1700  1436.98    8.95      0  1436.98  4294.17    12.6     4.1    19.2    
*  202 1698  1436.12    9.74      0  1436.12  4296.51     7.7     4.1    19.3    
*  205 1695  1412.25    9.46      0  1412.25  4215.07    17.4     4.3    19.6    
*  210 1690  1411.04    7.20      0  1411.04  4211.80    17.1     4.3    20.1    
*  213 1687  1403.80    6.93      0  1403.80  4197.08    10.2     4.1    20.4    

  Gens  Rem    Local   ElDiv NoImpr             Best solution            Time  Op
                                       Cost     Dist    Tard    TMax 
*  217 1683  1402.54    5.31      0  1402.54  4193.12    10.4     4.1    20.8    
*  219 1681  1399.74    5.16      0  1399.74  4184.09    11.0     4.1    21.0    
*  222 1678  1392.82    4.82      0  1392.82  4165.45     8.9     4.1    21.2    
*  224 1676  1386.92    4.92      0  1386.92  4148.90     7.7     4.1    21.4    
*  229 1671  1380.36    3.70      0  1380.36  4126.77    10.2     4.1    21.9    
*  232 1668  1373.88    4.13      0  1373.88  4104.58    12.9     4.1    22.2    
*  244 1656  1372.67    2.29      0  1372.67  4097.01    12.8     4.1    23.3    
*  245 1655  1371.33    2.46      0  1371.33  4091.03    10.2     4.1    23.4    
*  246 1654  1368.45    2.33      0  1368.45  4091.03    10.2     4.1    23.5    
*  248 1652  1367.58    2.03      0  1367.58  4089.17     9.4     4.1    23.7    
